Proposal #,Total Sponsor Costs,Total Direct Costs,Total Indirect Costs,Total Project Cost
24-0117-P0001,,,,
24-0117-P0001,,,,
24-0117-P0001,,,,
24-0117-P0001,,,,
24-0117-P0001,,,,
24-0117-P0001,,,,
24-0117-P0001,,,,
23-0840-P0002,50000,42553.19,7446.81,50000
23-0840-P0002,,,,
23-0840-P0002,,,,
23-0840-P0002,,,,
23-0840-P0002,,,,
23-0840-P0002,,,,
23-0840-P0002,,,,
23-0840-P0002,,,,
23-0840-P0002,,,,
23-0840-P0002,,,,
23-1172-P0001,,,,
23-1172-P0001,,,,
23-0212-P0001,,,,
23-0212-P0001,,,,
23-0254-P0001,,,,
23-0254-P0001,,,,
23-0230-P0001,,,,
23-0230-P0001,,,,
24-0782-P0001,5400,4500,900,5400
24-0782-P0001,,,,
24-0782-P0001,,,,
24-0782-P0001,,,,
24-0782-P0001,,,,
24-0782-P0001,,,,
24-0782-P0001,,,,
24-0782-P0001,,,,
24-0782-P0001,,,,
24-0782-P0001,,,,
24-0782-P0001,,,,
23-0527-P0001,,,,
23-0527-P0001,,,,
23-0618-P0002,1744684,1302003,442681,1744684
23-0618-P0002,,,,
23-0618-P0002,,,,
23-0618-P0002,,,,
23-0618-P0002,,,,
23-0618-P0002,,,,
23-0618-P0002,,,,
23-0827-P0001,,,,
23-0827-P0001,,,,
24-0017-P0001,,,,
24-0017-P0001,,,,
24-0017-P0001,,,,
24-0017-P0001,,,,
24-0017-P0001,,,,
23-1711-P0001,69815.77,48871.09,20944.65,
23-1711-P0001,,,,
23-1711-P0001,,,,
23-1711-P0001,,,,
23-1711-P0001,,,,
23-1711-P0001,,,,
23-1711-P0001,,,,
23-1711-P0001,,,,
23-1184-P0001,,,,
23-1184-P0001,,,,
25-0059-P0001,200000,145806,54194,200000
25-0059-P0001,,,,
25-0059-P0001,,,,
25-0059-P0001,,,,
25-0059-P0001,,,,
25-0059-P0001,,,,
25-0059-P0001,,,,
23-0555-P0001,,,,
23-0555-P0001,,,,
23-0820-P0001,,,,
23-0820-P0001,,,,
23-0545-P0001,,,,
23-0545-P0001,,,,
23-0958-P0001,,,,
23-0958-P0001,,,,
24-0233-P0001,,,,
24-0233-P0001,,,,
23-0322-P0001,,,,
23-0322-P0001,,,,
25-0042-P0001,3000000,2400000,600000,18000000
25-0042-P0001,,,,
25-0042-P0001,,,,
25-0042-P0001,,,,
25-0042-P0001,,,,
24-1062-P0001,174720,128284,46435,174720
24-1062-P0001,,,,
24-1062-P0001,,,,
24-1062-P0001,,,,
24-1062-P0001,,,,
24-1062-P0001,,,,
24-1062-P0001,,,,
24-1062-P0001,,,,
24-1062-P0001,,,,
24-1062-P0001,,,,
25-0061-P0001,278891,278891,0,278891
25-0061-P0001,,,,
25-0061-P0001,,,,
25-0061-P0001,,,,
25-0061-P0001,,,,
25-0061-P0001,,,,
25-0061-P0001,,,,
25-0061-P0001,,,,
25-0061-P0001,,,,
25-0061-P0001,,,,
25-0061-P0001,,,,
25-0061-P0001,,,,
25-0061-P0001,,,,
23-1896-P0001,6500,6500,0,6500
23-1896-P0001,,,,
23-1896-P0001,,,,
23-1896-P0001,,,,
23-1896-P0001,,,,
24-0262-P0001,,,,
24-0262-P0001,,,,
23-1168-P0001,,,,
23-1168-P0001,,,,
24-1019-P0001,16786,15260,1525.98,16786
24-1019-P0001,,,,
24-1019-P0001,,,,
24-1019-P0001,,,,
24-1019-P0001,,,,
24-1019-P0001,,,,
24-1019-P0001,,,,
24-1019-P0001,,,,
24-0697-P0001,99974,72537,27437,99974
24-0697-P0001,,,,
24-0697-P0001,,,,
24-0697-P0001,,,,
24-0697-P0001,,,,
24-0697-P0001,,,,
24-0697-P0001,,,,
24-0697-P0001,,,,
24-0697-P0001,,,,
24-0697-P0001,,,,
24-0697-P0001,,,,
24-0697-P0001,,,,
25-0452-P0001,262741,218951,43790,262741
25-0452-P0001,,,,
25-0452-P0001,,,,
25-0452-P0001,,,,
25-0452-P0001,,,,
25-0452-P0001,,,,
25-0452-P0001,,,,
25-0452-P0001,,,,
25-0452-P0001,,,,
23-0557-P0001,,,,
23-0557-P0001,,,,
23-0493-P0001,,,,
23-0493-P0001,,,,
23-0786-P0001,,,,
23-0786-P0001,,,,
23-0590-P0001,,,,
23-0590-P0001,,,,
23-0021-P0001,,,,
23-0021-P0001,,,,
23-0362-P0001,,,,
23-0362-P0001,,,,
23-1203-P0001,,,,
23-1203-P0001,,,,
24-0250-P0001,,,,
24-0250-P0001,,,,
23-1474-P0001,,,,
23-1474-P0001,,,,
24-0538-P0001,713735,677163,36572,713735
24-0538-P0001,,,,
24-0538-P0001,,,,
24-0538-P0001,,,,
24-0538-P0001,,,,
24-0538-P0001,,,,
24-0538-P0001,,,,
24-0538-P0001,,,,
24-0538-P0001,,,,
24-0538-P0001,,,,
24-0538-P0001,,,,
23-1190-P0002,100000,83333,16667,100000
23-1190-P0002,,,,
23-1190-P0002,,,,
23-1190-P0002,,,,
23-1190-P0002,,,,
24-0092-P0001,1000000,842344,157656,1000000
24-0092-P0001,,,,
24-0092-P0001,,,,
24-0092-P0001,,,,
24-0092-P0001,,,,
24-0092-P0001,,,,
24-0092-P0001,,,,
24-0092-P0001,,,,
24-0092-P0001,,,,
24-0092-P0001,,,,
24-0092-P0001,,,,
24-0092-P0001,,,,
24-0092-P0001,,,,
24-0092-P0001,,,,
24-0092-P0001,,,,
24-0092-P0001,,,,
24-0092-P0001,,,,
24-0092-P0001,,,,
24-0092-P0001,,,,
24-1047-P0001,175000,159090,15910,175000
24-1047-P0001,,,,
24-1047-P0001,,,,
24-1047-P0001,,,,
24-1047-P0001,,,,
24-1047-P0001,,,,
24-1047-P0001,,,,
24-1047-P0001,,,,
24-1047-P0001,,,,
24-1047-P0001,,,,
24-1047-P0001,,,,
24-0239-P0001,,,,
24-0239-P0001,,,,
23-0955-P0001,,,,
23-0955-P0001,,,,
23-1093-P0001,,,,
23-1093-P0001,,,,
24-0972-P0001,8710,6500,2210,8710
24-0972-P0001,,,,
24-0972-P0001,,,,
24-0972-P0001,,,,
24-0972-P0001,,,,
24-0972-P0001,,,,
24-0972-P0001,,,,
24-0972-P0001,,,,
24-0972-P0001,,,,
23-0665-P0001,,,,
23-0665-P0001,,,,
24-0700-P0001,964424,680871,283553,964424
24-0700-P0001,,,,
24-0700-P0001,,,,
24-0700-P0001,,,,
24-0700-P0001,,,,
24-0700-P0001,,,,
24-0700-P0001,,,,
24-0700-P0001,,,,
23-0214-P0001,,,,
23-0214-P0001,,,,
25-0491-P0001,,,,
25-0491-P0001,,,,
25-0491-P0001,,,,
25-0491-P0001,,,,
25-0491-P0001,,,,
23-0343-P0001,,,,
23-0343-P0001,,,,
24-0354-P0001,27562,19074,8488,27562
24-0354-P0001,,,,
24-0354-P0001,,,,
24-0354-P0001,,,,
24-0354-P0001,,,,
24-0354-P0001,,,,
24-1040-P0001,999610,771825,227785,1333507
24-1040-P0001,,,,
24-1040-P0001,,,,
24-1040-P0001,,,,
24-1040-P0001,,,,
24-1040-P0001,,,,
24-1040-P0001,,,,
24-1040-P0001,,,,
24-1040-P0001,,,,
24-0672-P0001,320770,232049,88721,320770
24-0672-P0001,,,,
24-0672-P0001,,,,
24-0672-P0001,,,,
24-0672-P0001,,,,
24-0489-P0001,575758,389449,177310,575758
24-0489-P0001,,,,
24-0489-P0001,,,,
24-0489-P0001,,,,
24-0489-P0001,,,,
24-0489-P0001,,,,
24-0489-P0001,,,,
24-0489-P0001,,,,
24-0489-P0001,,,,
24-0489-P0001,,,,
24-0420-P0001,27434,24691,2473,27343
24-0420-P0001,,,,
24-0420-P0001,,,,
24-0420-P0001,,,,
24-0420-P0001,,,,
24-0420-P0001,,,,
23-1378-P0001,,,,
23-1378-P0001,,,,
23-0550-P0001,,,,
23-0550-P0001,,,,
25-0132-P0001,650250,450000,200250,650250
25-0132-P0001,,,,
25-0132-P0001,,,,
25-0132-P0001,,,,
25-0132-P0001,,,,
25-0132-P0001,,,,
25-0132-P0001,,,,
25-0132-P0001,,,,
25-0132-P0001,,,,
25-0349-P0001,248914,183795,65119,248914
25-0349-P0001,,,,
25-0349-P0001,,,,
25-0349-P0001,,,,
25-0349-P0001,,,,
25-0349-P0001,,,,
25-0349-P0001,,,,
25-0349-P0001,,,,
25-0533-P0001,647869,533301,114568,647869
25-0533-P0001,,,,
25-0533-P0001,,,,
25-0533-P0001,,,,
25-0533-P0001,,,,
25-0533-P0001,,,,
25-0533-P0001,,,,
25-0533-P0001,,,,
24-0739-P0001,225000,225000,0,225000
24-0739-P0001,,,,
24-0739-P0001,,,,
24-0739-P0001,,,,
24-0739-P0001,,,,
24-0739-P0001,,,,
24-0739-P0001,,,,
24-0739-P0001,,,,
24-0739-P0001,,,,
24-0739-P0001,,,,
24-0739-P0001,,,,
24-0739-P0001,,,,
24-0488-P0001,22200,15424,6796,22200
24-0488-P0001,,,,
24-0488-P0001,,,,
24-0488-P0001,,,,
24-0488-P0001,,,,
24-0488-P0001,,,,
24-0488-P0001,,,,
24-0488-P0001,,,,
24-0488-P0001,,,,
23-1466-P0001,,,,
23-1466-P0001,,,,
23-1756-P0001,0,0,0,350000
23-1756-P0001,,,,
23-1756-P0001,,,,
23-1756-P0001,,,,
23-1756-P0001,,,,
23-0990-P0001,,,,
23-0990-P0001,,,,
23-1179-P0002,15000,14286,714,15000
23-1179-P0002,,,,
23-1179-P0002,,,,
23-1179-P0002,,,,
23-1179-P0002,,,,
23-1179-P0002,,,,
23-1179-P0002,,,,
23-1179-P0002,,,,
23-1179-P0002,,,,
23-1179-P0002,,,,
23-1179-P0002,,,,
23-1179-P0002,,,,
23-1179-P0002,,,,
23-1179-P0002,,,,
23-1179-P0002,,,,
23-0005-P0001,,,,
23-0005-P0001,,,,
23-1129-P0001,,,,
23-1129-P0001,,,,
23-0770-P0001,,,,
23-0770-P0001,,,,
23-1123-P0001,,,,
23-1123-P0001,,,,
24-0658-P0001,40000,40000,0,40000
24-0658-P0001,,,,
24-0658-P0001,,,,
24-0658-P0001,,,,
24-0658-P0001,,,,
24-0658-P0001,,,,
24-0658-P0001,,,,
23-0978-P0001,,,,
23-0978-P0001,,,,
23-1954-P0001,,,,320238
24-0206-P0001,,,,
24-0206-P0001,,,,
23-1954-P0001,,,,
23-1954-P0001,,,,
23-1954-P0001,,,,
23-1144-P0001,,,,
23-1144-P0001,,,,
25-0507-P0001,,,,
25-0507-P0001,,,,
25-0507-P0001,,,,
23-0421-P0001,,,,
23-0421-P0001,,,,
25-0051-P0001,,,,
25-0051-P0001,,,,
25-0051-P0001,,,,
24-0598-P0002,43500,40227,3222,58000
24-0598-P0002,,,,
24-0598-P0002,,,,
24-0598-P0002,,,,
24-0598-P0002,,,,
24-0598-P0002,,,,
24-0598-P0002,,,,
24-0649-P0001,118692,84780,33912,118692
