Project      Sort descending,PI,Institution,FY,Cong Dist,Total Dollars
3P20GM103432-23S2,"SEVILLE, ROBERT SCOTT",UNIVERSITY OF WYOMING,2024,WY-00,"$779,559 "
5P20GM103432-23,"SEVILLE, ROBERT SCOTT",UNIVERSITY OF WYOMING,2024,WY-00,"$3,418,046 "
5P20GM121310-08,"SUN, QIAN-QUAN",UNIVERSITY OF WYOMING,2024,WY-00,"$2,480,469 "
